commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
SA,UP,NO_RISK,20,59,59,1.0,0.0,52,52,0.4423076923076923,HIGH,HIGH
SA,DOWN,RISK,1,42,26,0.6190476190476191,0.38095238095238093,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,RISK,2,42,38,0.9047619047619048,0.09523809523809523,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,RISK,3,42,41,0.9761904761904762,0.023809523809523836,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,RISK,5,42,42,1.0,0.0,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,RISK,10,42,42,1.0,0.0,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,RISK,20,42,42,1.0,0.0,74,74,0.4189189189189189,HIGH,MEDIUM
SA,DOWN,NO_RISK,1,69,48,0.6956521739130435,0.30434782608695654,74,74,0.4189189189189189,HIGH,HIGH
SA,DOWN,NO_RISK,2,69,59,0.855072463768116,0.14492753623188404,74,74,0.4189189189189189,HIGH,HIGH
SA,DOWN,NO_RISK,3,69,67,0.9710144927536232,0.02898550724637683,74,74,0.4189189189189189,HIGH,HIGH
SA,DOWN,NO_RISK,5,69,69,1.0,0.0,74,74,0.4189189189189189,HIGH,HIGH
SA,DOWN,NO_RISK,10,69,69,1.0,0.0,74,74,0.4189189189189189,HIGH,HIGH
SA,DOWN,NO_RISK,20,69,69,1.0,0.0,74,74,0.4189189189189189,HIGH,HIGH
SA,UP,RISK,1,33,16,0.48484848484848486,0.5151515151515151,52,52,0.4423076923076923,HIGH,MEDIUM
SA,UP,RISK,2,33,24,0.7272727272727273,0.2727272727272727,52,52,0.4423076923076923,HIGH,MEDIUM
SA,UP,RISK,3,33,28,0.8484848484848485,0.1515151515151515,52,52,0.4423076923076923,HIGH,MEDIUM
SA,UP,RISK,5,33,33,1.0,0.0,52,52,0.4423076923076923,HIGH,MEDIUM
SA,UP,RISK,10,33,33,1.0,0.0,52,52,0.4423076923076923,HIGH,MEDIUM
SA,UP,RISK,20,33,33,1.0,0.0,52,52,0.4423076923076923,HIGH,MEDIUM
SP,DOWN,NO_RISK,1,78,11,0.14102564102564102,0.858974358974359,12,12,0.25,LOW,HIGH
SP,DOWN,NO_RISK,2,78,18,0.23076923076923078,0.7692307692307692,12,12,0.25,LOW,HIGH
SP,DOWN,NO_RISK,3,78,24,0.3076923076923077,0.6923076923076923,12,12,0.25,LOW,HIGH
SP,DOWN,NO_RISK,5,78,32,0.41025641025641024,0.5897435897435898,12,12,0.25,LOW,HIGH
SP,DOWN,NO_RISK,10,78,47,0.6025641025641025,0.39743589743589747,12,12,0.25,LOW,HIGH
SP,DOWN,NO_RISK,20,78,66,0.8461538461538461,0.15384615384615385,12,12,0.25,LOW,HIGH
SP,UP,NO_RISK,1,138,16,0.11594202898550725,0.8840579710144928,17,17,0.23529411764705882,LOW,HIGH
SP,UP,NO_RISK,2,138,28,0.2028985507246377,0.7971014492753623,17,17,0.23529411764705882,LOW,HIGH
SP,UP,NO_RISK,3,138,38,0.2753623188405797,0.7246376811594203,17,17,0.23529411764705882,LOW,HIGH
SP,UP,NO_RISK,5,138,54,0.391304347826087,0.6086956521739131,17,17,0.23529411764705882,LOW,HIGH
SP,UP,NO_RISK,10,138,84,0.6086956521739131,0.3913043478260869,17,17,0.23529411764705882,LOW,HIGH
SP,UP,NO_RISK,20,138,123,0.8913043478260869,0.10869565217391308,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,1,62,1,0.016129032258064516,0.9838709677419355,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,2,62,2,0.03225806451612903,0.967741935483871,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,3,62,3,0.04838709677419355,0.9516129032258065,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,5,62,5,0.08064516129032258,0.9193548387096774,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,10,62,11,0.1774193548387097,0.8225806451612903,17,17,0.23529411764705882,LOW,HIGH
SP,UP,RISK,20,62,18,0.2903225806451613,0.7096774193548387,17,17,0.23529411764705882,LOW,HIGH
SP,DOWN,RISK,1,36,1,0.027777777777777776,0.9722222222222222,12,12,0.25,LOW,MEDIUM
SP,DOWN,RISK,2,36,2,0.05555555555555555,0.9444444444444444,12,12,0.25,LOW,MEDIUM
SP,DOWN,RISK,3,36,3,0.08333333333333333,0.9166666666666666,12,12,0.25,LOW,MEDIUM
SP,DOWN,RISK,5,36,5,0.1388888888888889,0.8611111111111112,12,12,0.25,LOW,MEDIUM
SP,DOWN,RISK,10,36,10,0.2777777777777778,0.7222222222222222,12,12,0.25,LOW,MEDIUM
SP,DOWN,RISK,20,36,20,0.5555555555555556,0.4444444444444444,12,12,0.25,LOW,MEDIUM
V,UP,RISK,1,109,25,0.22935779816513763,0.7706422018348624,162,162,0.36419753086419754,HIGH,HIGH
V,UP,RISK,2,109,60,0.5504587155963303,0.4495412844036697,162,162,0.36419753086419754,HIGH,HIGH
V,UP,RISK,3,109,85,0.7798165137614679,0.22018348623853212,162,162,0.36419753086419754,HIGH,HIGH
V,UP,RISK,5,109,101,0.926605504587156,0.07339449541284404,162,162,0.36419753086419754,HIGH,HIGH
V,UP,RISK,10,109,109,1.0,0.0,162,162,0.36419753086419754,HIGH,HIGH
V,UP,RISK,20,109,109,1.0,0.0,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,1,305,137,0.4491803278688525,0.5508196721311476,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,2,305,215,0.7049180327868853,0.29508196721311475,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,3,305,248,0.8131147540983606,0.18688524590163935,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,5,305,293,0.9606557377049181,0.03934426229508192,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,10,305,303,0.9934426229508196,0.006557377049180357,162,162,0.36419753086419754,HIGH,HIGH
V,UP,NO_RISK,20,305,305,1.0,0.0,162,162,0.36419753086419754,HIGH,HIGH
V,DOWN,RISK,1,105,23,0.21904761904761905,0.780952380952381,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,RISK,2,105,52,0.49523809523809526,0.5047619047619047,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,RISK,3,105,73,0.6952380952380952,0.3047619047619048,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,RISK,5,104,89,0.8557692307692307,0.14423076923076927,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,RISK,10,104,104,1.0,0.0,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,RISK,20,104,104,1.0,0.0,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,1,287,125,0.4355400696864111,0.5644599303135889,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,2,286,200,0.6993006993006993,0.30069930069930073,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,3,285,236,0.8280701754385965,0.1719298245614035,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,5,284,266,0.9366197183098591,0.06338028169014087,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,10,281,281,1.0,0.0,149,148,0.3691275167785235,HIGH,HIGH
V,DOWN,NO_RISK,20,281,281,1.0,0.0,149,148,0.3691275167785235,HIGH,HIGH
