hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,sensitivity_axis,bandwidth_multiplier,p,grid_size,weight_scale,sensitivity_label,status,sensitivity_reject_share,sensitivity_conclusion,symbol,best_model_name
2537,10.501811391196394,10,10,15,1.0,6.416390342996254,6.416390342996254,7.185612209685301,2.8891924497773203,-0.26624113140968964,0.60497324624563,7.1856122096853,2.5951417025565755,-0.29640842576390153,0.6165409042677304,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,bandwidth_multiplier,0.5,10.501811391196394,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,15,1.0,16.098178175522516,16.098178175522516,15.505568217494183,5.349229121000526,0.11078417929450946,0.4558937456065225,15.505568217494181,3.916188124625111,0.15132315894172338,0.4398604007221849,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,bandwidth_multiplier,1.0,21.00362278239279,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,31.505434173589183,31,31,15,1.0,24.956126888620304,24.956126888620304,23.838136667938585,7.515636491190268,0.14875522811570419,0.44087339012799465,23.838136667938585,4.8971281468072485,0.2282950715534386,0.40970842786863404,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,bandwidth_multiplier,1.5,31.505434173589183,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,42.00724556478558,42,42,15,1.0,33.47118482648264,33.47118482648264,32.173848536526286,9.355123104802834,0.13867655993648176,0.44485287078056734,32.17384853652628,5.712976950818518,0.2270858610361606,0.4101784890669412,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,bandwidth_multiplier,2.0,42.00724556478558,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,8,1.0,15.953154496678664,15.953154496678664,15.932975734347462,5.350170575354492,0.0037716110256662584,0.49849534846392485,15.93297573434746,3.9517928594469938,0.005106229766817218,0.4979629179049141,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_grid_size,1.0,21.00362278239279,8,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,15,1.0,16.098178175522516,16.098178175522516,15.505568217494183,5.349229121000526,0.11078417929450946,0.4558937456065225,15.505568217494181,3.916188124625111,0.15132315894172338,0.4398604007221849,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_grid_size,1.0,21.00362278239279,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,21,1.0,15.874258990398834,15.874258990398834,15.54587359717438,5.333384071066506,0.06157167547822749,0.4754519669125955,15.545873597174374,3.904095368818062,0.08411305621457614,0.46648327203704465,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_grid_size,1.0,21.00362278239279,21,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,15,0.75,12.687173612369357,12.687173612369357,11.567953287713463,3.9110641105861044,0.2861677264830541,0.3873748305419348,11.567953287713463,3.13639604196439,0.3568491700923403,0.36060236197688067,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_scale,1.0,21.00362278239279,15,0.75,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,15,1.0,16.098178175522516,16.098178175522516,15.505568217494183,5.349229121000526,0.11078417929450946,0.4558937456065225,15.505568217494181,3.916188124625111,0.15132315894172338,0.4398604007221849,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_scale,1.0,21.00362278239279,15,1.0,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
2537,21.00362278239279,21,21,15,1.25,18.504888577338928,18.504888577338928,18.675219483393782,6.579353190121782,-0.02588870077845773,0.510326943749955,18.675219483393775,4.494267044341123,-0.037899596168704794,0.5151161324850451,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,weight_scale,1.0,21.00362278239279,15,1.25,CF:10_EGARCH21_t,ok,0.0,stable_fail_to_reject,CF,10_EGARCH21_t
