symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AL,GARCH,03_GARCH11_t,71,2537,21.00362278239279,ok,0,0.051201640017071635,0.4795824225080373,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,72,2537,21.00362278239279,ok,0,0.6380484715725966,0.2617210638598957,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,73,2537,21.00362278239279,ok,0,-0.5361709661783237,0.7040798012862355,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,74,2537,21.00362278239279,ok,0,-0.7920418293247307,0.7858318566945953,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,75,2537,21.00362278239279,ok,0,0.2535285733066774,0.3999298919664326,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,76,2537,21.00362278239279,ok,0,0.01328103005759866,0.4947017913379592,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,77,2537,21.00362278239279,ok,0,-0.080616112611176,0.5321263740489067,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,78,2537,21.00362278239279,ok,0,-0.3451688230834617,0.6350162721832446,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,79,2537,21.00362278239279,ok,0,0.13816101346761925,0.4450565831445389,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,80,2537,21.00362278239279,ok,0,0.6325694277748544,0.26350742842661445,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,81,2537,21.00362278239279,ok,0,-0.3097667141636127,0.62163081719218,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,82,2537,21.00362278239279,ok,0,1.0144482866523585,0.15518444672174792,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,83,2537,21.00362278239279,ok,0,-0.6114553635316994,0.7295509199072031,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,84,2537,21.00362278239279,ok,0,-0.5300013857682776,0.7019445150060782,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,85,2537,21.00362278239279,ok,0,-0.3501826359278124,0.6368991813538138,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,86,2537,21.00362278239279,ok,0,-0.7711809361942097,0.7797001538563089,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,87,2537,21.00362278239279,ok,0,-0.31732330999380204,0.6245008540895552,FAIL_TO_REJECT,False,representative_fit
