hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,dd_label,c,lambda,candidate_p,status,symbol,best_model_name
2537,23.313282300521003,23,23,15,1.0,12.881725087661744,12.881725087661744,11.5670118706353,3.8348300901174883,0.34283480261994215,0.3658613710962013,11.5670118706353,2.814881716778651,0.46705806826263424,0.3202291666880447,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.5,0.35,23.313282300521003,ok,AL,05_GARCH11_ged
2537,34.50002787292569,34,34,15,1.0,19.067016191843763,19.067016191843763,17.48959830305712,5.235426935678513,0.30129689673192,0.38159405354649634,17.489598303057118,3.4869693964121993,0.4523750309967378,0.3254994157896549,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.5,0.4,34.50002787292569,ok,AL,05_GARCH11_ged
2537,14.194173598748483,14,14,15,1.0,7.807588872475669,7.807588872475669,6.7433336168308,2.5633510724651254,0.41518123173873145,0.33900461853649966,6.743333616830798,2.1168914255347553,0.5027443745141655,0.3075720034274292,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.0,0.25,14.194173598748483,ok,AL,05_GARCH11_ged
2537,21.00516686056792,21,21,15,1.0,11.682616052676778,11.682616052676778,10.345561363800478,3.5236961883245637,0.3794466427913125,0.3521781098348302,10.345561363800478,2.6553439849596057,0.5035335144710602,0.307294611685204,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.0,0.3,21.00516686056792,ok,AL,05_GARCH11_ged
2537,31.084376400694673,31,31,15,1.0,17.05139163405947,17.05139163405947,15.680966827056771,4.8253939119807585,0.284002680817442,0.38820416310264005,15.680966827056777,3.2962236268267318,0.4157560172341824,0.33879427306398013,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.0,0.35,31.084376400694673,ok,AL,05_GARCH11_ged
2537,46.00003716390092,46,46,15,1.0,25.788519190767992,25.788519190767992,23.579863158818423,6.556259970790397,0.336877433443705,0.3681046487587861,23.57986315881842,4.064161985361885,0.5434468507664337,0.29341108779823644,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.0,0.4,46.00003716390092,ok,AL,05_GARCH11_ged
2537,17.742716998435604,17,17,15,1.0,9.889064801818622,9.889064801818622,8.619662925083155,3.0722093960051766,0.4131885926740808,0.3397342225657316,8.619662925083157,2.4121831147587827,0.5262460668797131,0.2993586252239663,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.5,0.25,17.742716998435604,ok,AL,05_GARCH11_ged
2537,26.2564585757099,26,26,15,1.0,14.395437777513079,14.395437777513079,13.124903310845545,4.221248779611352,0.30098545075197203,0.38171279451246176,13.124903310845546,3.0061843985340615,0.4226402303488426,0.33627888487417823,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.5,0.3,26.2564585757099,ok,AL,05_GARCH11_ged
2537,38.85547050086834,38,38,15,1.0,21.65779742632272,21.65779742632272,19.796069426511284,5.743151552862707,0.3241648740548117,0.3729066069212227,19.796069426511295,3.716090925076217,0.5009909707129249,0.30818873877499253,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.5,0.35,38.85547050086834,ok,AL,05_GARCH11_ged
2537,57.50004645487615,57,57,15,1.0,32.314181229201935,32.314181229201935,29.670895788696335,7.856686052048505,0.3364377070681609,0.36827040942190714,29.670895788696345,4.56921240074529,0.5784991391677131,0.28146358920600023,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,2.5,0.4,57.50004645487615,ok,AL,05_GARCH11_ged
2537,21.291260398122724,21,21,15,1.0,11.83344788479923,11.83344788479923,10.496904022157223,3.562546979707185,0.3751652596457443,0.3537687825906183,10.49690402215722,2.6756288519669615,0.49952513468355797,0.30870474218150035,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,3.0,0.25,21.291260398122724,ok,AL,05_GARCH11_ged
