ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
60,long_flat,High,net_map_vs_zero,2476,0.00023491828583223253,0.0591994080297226,0.16592047812355623,0.3567938611268857,1.1183878059980097,0.47092084006462037,-0.2501012917845963
60,long_flat,Low,net_map_vs_zero,2476,0.00016529294554271275,0.04165382227676361,0.07042730382269873,0.5914442271086712,1.8539108532784443,0.5105008077544426,-0.13096887648833477
60,long_flat,Mid,net_map_vs_zero,2476,0.00019027726648389697,0.04794987115394204,0.09763092239107504,0.49113405855034087,1.5394837244626116,0.4979806138933764,-0.16544709340521735
60,long_short,High,net_map_vs_zero,2476,8.123986703470416e-05,0.02047244649274545,0.20140690311357187,0.10164719369723484,0.3186180994982901,0.5230210016155089,-0.38057380104022487
60,long_short,Low,net_map_vs_zero,2476,7.404348056408391e-05,0.018658957102149147,0.08403193012369008,0.22204603743701062,0.696014163067161,0.5084814216478191,-0.2093347634491699
60,long_short,Mid,net_map_vs_zero,2476,6.56758977728322e-05,0.016550326238753715,0.11626179853182678,0.14235394985931726,0.4462154173714726,0.5032310177705978,-0.23677961895575894
120,long_flat,High,net_map_vs_zero,2417,2.8783297777869903e-05,0.007253391040023215,0.16186447970004217,0.04481150560928981,0.1387802261017355,0.4654530409598676,-0.41628519318584367
120,long_flat,Low,net_map_vs_zero,2417,0.00016532906034097842,0.04166292320592656,0.06947175294063042,0.5997102626952728,1.8572892100087635,0.5093090608191974,-0.13597347773601687
120,long_flat,Mid,net_map_vs_zero,2417,6.350417544431868e-05,0.016003052211968308,0.09718924775346698,0.16465866936805712,0.5099441996827839,0.497310715763343,-0.2502732117071824
120,long_short,High,net_map_vs_zero,2417,-0.00030423160568384696,-0.07666636463232944,0.19650231386050518,-0.3901550222291736,-1.2083013383167258,0.5022755482002482,-0.7166507843564451
120,long_short,Low,net_map_vs_zero,2417,0.00010180473978395724,0.025654794425557223,0.08285172491759472,0.30964707676362535,0.9589700399642167,0.5184112536201904,-0.17735565383189789
120,long_short,Mid,net_map_vs_zero,2417,-0.00015954573545797821,-0.04020552533541051,0.11553400594113408,-0.3479973277815338,-1.0777399057600292,0.5002068680182044,-0.3853963497659625
10,long_flat,High,net_strategy_return,2476,0.0001634938288999609,0.04120044488279014,0.1589720180295917,0.2591679051034058,0.8123744726387535,0.47576736672051695,-0.3236263676538351
10,long_flat,Low,net_strategy_return,2476,0.00013767081801837843,0.034693046140631366,0.06289874520379876,0.551569765473415,1.7289224033013106,0.5020193861066236,-0.09678568314139058
10,long_flat,Mid,net_strategy_return,2476,9.535771792679431e-05,0.024030144917552166,0.09185555120348754,0.2616079769018881,0.8200229970179655,0.481421647819063,-0.2242876740253532
10,long_short,High,net_strategy_return,2476,-6.169879732346703e-05,-0.015548096925513693,0.18834009253964737,-0.0825533040568124,-0.25876736867160144,0.5072697899838449,-0.43004795173836763
10,long_short,Low,net_strategy_return,2476,1.8638956776794423e-05,0.004697017107752195,0.07751124933355212,0.06059787641326286,0.18994700703627307,0.49232633279483035,-0.19695210207917524
10,long_short,Mid,net_strategy_return,2476,-0.00012427859283318024,-0.03131820539396142,0.10939067732361675,-0.2862968413780908,-0.8974114500785498,0.49192245557350567,-0.41444660884695295
20,long_flat,High,net_strategy_return,2476,0.0002820638809684224,0.07108009800404244,0.16015152907702038,0.443830280070935,1.3912077175214927,0.4834410339256866,-0.22580865601577327
20,long_flat,Low,net_strategy_return,2476,0.00011144515562385485,0.028084179217211423,0.0648985807340344,0.4327394975293103,1.3564431172720577,0.49636510500807757,-0.15057475765622697
20,long_flat,Mid,net_strategy_return,2476,0.00014415881869878848,0.0363280223120947,0.09369120433678878,0.3877420785574227,1.2153965069951904,0.4773828756058158,-0.20748625172977597
20,long_short,High,net_strategy_return,2476,0.00017544130681345588,0.04421120931699088,0.19317790115156847,0.22886266520880416,0.717381216171503,0.5165589660743134,-0.46803251077511177
20,long_short,Low,net_strategy_return,2476,-3.365209927363192e-05,-0.008480329016955244,0.07952434205826898,-0.10663815377110002,-0.3342625079228193,0.5,-0.34156242631774236
20,long_short,Mid,net_strategy_return,2476,-2.6784572687761074e-05,-0.0067497123173157906,0.11337242401419505,-0.05953575021444966,-0.18661772052491896,0.49515347334410337,-0.3269923471967745
